"(6, 8)","[[12, 10, 0], [12, 9, 0]]"
"(8, 14)","[[12, 9, 0], [13, 9, 0], [13, 8, 0], [13, 7, 0], [13, 6, 0], [13, 5, 0]]"
"(11, 5)","[[4, 7, 0], [3, 7, 0], [3, 8, 0], [3, 9, 0], [3, 10, 0]]"
"(14, 19)","[[13, 5, 0], [13, 5, 1], [12, 5, 1], [11, 5, 1], [11, 4, 1], [11, 4, 0]]"
"(23, 12)","[[9, 2, 0], [10, 2, 0], [11, 2, 0], [11, 3, 0], [11, 3, 1], [11, 3, 2], [11, 4, 2], [11, 5, 2], [11, 6, 2], [11, 7, 2], [11, 7, 1], [11, 7, 0]]"
"(4, 6)","[[15, 11, 0], [14, 11, 0], [13, 11, 0], [12, 11, 0], [12, 10, 0]]"
"(21, 11)","[[1, 3, 0], [1, 3, 1], [2, 3, 1], [3, 3, 1], [4, 3, 1], [4, 4, 1], [4, 5, 1], [4, 6, 1], [4, 7, 1], [4, 7, 0]]"
"(23, 17)","[[9, 2, 0], [8, 2, 0], [7, 2, 0], [6, 2, 0], [6, 3, 0], [6, 4, 0]]"
"(23, 14)","[[9, 2, 0], [9, 2, 1], [10, 2, 1], [11, 2, 1], [12, 2, 1], [13, 2, 1], [13, 3, 1], [13, 3, 2], [13, 4, 2], [13, 5, 2], [14, 5, 2], [14, 5, 1], [14, 5, 0], [14, 5, 0], [13, 5, 0]]"
"(20, 3)","[[15, 4, 0], [15, 4, 1], [14, 4, 1], [14, 4, 2], [14, 4, 3], [13, 4, 3], [12, 4, 3], [11, 4, 3], [10, 4, 3], [10, 5, 3], [10, 6, 3], [10, 7, 3], [10, 8, 3], [10, 9, 3], [10, 10, 3], [10, 11, 3], [10, 11, 2], [10, 11, 1], [10, 11, 0]]"
"(17, 10)","[[6, 4, 0], [5, 4, 0], [4, 4, 0], [4, 5, 0], [4, 6, 0], [5, 6, 0], [5, 6, 1], [5, 6, 2], [4, 6, 2], [3, 6, 2], [2, 6, 2], [1, 6, 2], [1, 7, 2], [1, 7, 1], [1, 7, 0]]"
